prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,0,65354,838.778800,1.550500,19.050301,4.754800,752.544983,1.868100,0,3076,196608,5908201472
0,1,448,1978.288500,0.082700,19.910700,5.006900,1951.176147,2.063900,0,3076,196608,5908201472
0,2,1172,1006.144600,0.043100,21.080601,5.841900,977.123291,2.006900,0,3076,196608,5908201472
0,3,264,896.762100,0.060300,21.019699,5.163400,868.378418,2.089400,0,3076,196608,5908201472
0,4,3175,517.625800,0.078300,20.687500,4.501700,490.281311,2.031500,0,3076,196608,5908201472
0,5,13027,1005.182000,0.049400,20.872499,4.800800,977.373291,2.038300,0,3076,196608,5908201472
0,6,50494,602.101000,0.078600,21.030701,4.958700,573.993103,1.984900,0,3076,196608,5908201472
0,7,2038,502.746000,0.085000,21.063299,4.673800,474.874603,1.986700,0,3076,196608,5908201472
0,8,2504,596.526300,0.055900,21.035400,4.770200,568.543091,2.061400,0,3076,196608,5908201472
0,9,8482,471.087500,0.146900,20.819700,4.546600,443.479706,2.035000,0,3076,196608,5908201472
0,10,264,244.106100,0.130800,20.876200,4.674300,216.380707,1.983300,0,3076,196608,5908201472
0,11,729,315.182400,0.032800,20.784500,4.607100,287.758606,1.944400,0,3076,196608,5908201472
0,12,429,605.590200,0.028300,20.914900,4.706900,577.880615,2.005200,0,3076,196608,5908201472
0,13,20853,537.322300,0.049100,20.884899,4.375400,509.999390,1.970900,0,3076,196608,5908201472
0,14,264,296.317100,0.050600,30.071800,4.950000,257.888000,3.307000,0,3076,196608,5908201472
0,15,1140,298.630000,0.049000,37.186298,5.672400,252.241592,3.433700,0,3076,196608,5908201472
0,16,1667,201.879100,0.063000,37.665798,5.472800,155.151001,3.478800,0,3076,196608,5908201472
0,17,3974,600.856200,0.073200,39.083801,6.184100,551.732483,3.736000,0,3076,196608,5908201472
0,18,6860,301.973500,0.082500,41.635700,5.912700,250.435303,3.856200,0,3076,196608,5908201472
0,19,13,1318.860400,0.074800,47.328499,6.643700,1259.730957,5.026200,0,3076,196608,5908201472
0,20,3155,830.918600,0.498500,74.738503,9.764500,729.406128,16.448299,0,3076,196608,5908201472
0,21,537,456.546100,0.538400,43.452999,6.579800,403.158295,2.760500,0,3076,196608,5908201472
