prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,0,65354,842.841800,4.476100,31.284201,3.759900,796.577881,6.496800,0,632320,196608,3913809920
0,1,448,856.414700,0.074700,30.996599,3.501400,815.096619,6.396700,0,632320,196608,5193072640
0,2,1172,469.444800,0.071900,30.577101,2.824100,429.342407,6.351400,0,632320,196608,5799149568
0,3,264,375.555000,0.055000,30.891100,3.247600,334.631714,6.412600,0,632320,196608,6327631872
0,4,3175,304.931000,0.131800,30.887300,3.092200,264.025909,6.429100,0,632320,196608,6438780928
0,5,13027,531.116100,0.069800,31.327600,3.635900,489.243805,6.433900,0,632320,196608,6438780928
0,6,50494,391.316300,0.087700,31.116301,3.359500,350.016815,6.372000,0,632320,196608,6438780928
0,7,2038,321.199900,0.072400,31.155701,3.402000,279.779297,6.409700,0,632320,196608,6438780928
0,8,2504,315.060800,0.073600,31.116899,3.262700,273.848999,6.382500,0,632320,196608,6438780928
0,9,8482,289.858000,0.068200,31.156700,3.486900,248.435501,6.357600,0,632320,196608,6438780928
0,10,264,175.452400,0.081800,30.132000,2.829500,136.095001,5.976800,0,632320,196608,6438780928
0,11,729,190.633600,0.061200,27.982300,2.772600,154.203201,5.232400,0,632320,196608,6438780928
0,12,429,305.954300,0.053500,25.323000,2.739300,272.112915,5.294900,0,632320,196608,6438780928
0,13,20853,302.320500,0.087400,25.370501,2.671300,268.503510,5.314000,0,632320,196608,6438780928
0,14,264,221.040900,0.063000,25.331900,2.778300,187.277405,5.234100,0,632320,196608,6438780928
0,15,1140,187.800000,0.043000,25.518499,2.982000,153.733398,5.167600,0,632320,196608,6438780928
0,16,1667,146.223000,0.085100,25.125900,2.764100,112.677101,5.178100,0,632320,196608,6438780928
0,17,3974,387.971900,0.072400,24.611500,3.057900,354.934906,4.921600,0,632320,196608,6438780928
0,18,6860,264.828900,0.101400,24.399900,2.830100,232.117493,4.974000,0,632320,196608,6438780928
0,19,13,657.684700,0.100400,24.362700,2.975600,624.908508,4.966700,0,632320,196608,6438780928
0,20,3155,392.106500,0.054000,24.545300,2.990400,359.175415,4.929700,0,632320,196608,6438780928
0,21,537,283.407300,0.064600,27.757700,3.575400,245.693497,5.899100,0,632320,196608,6438780928
0,22,2924,244.554500,0.070700,27.225500,2.842500,208.852295,5.140500,0,632320,196608,6438780928
0,23,894,205.946800,0.106700,24.762600,2.933300,172.679092,4.977300,0,632320,196608,6438780928
0,24,1467,218.429400,0.123700,24.480301,2.672500,185.771606,4.997400,0,632320,196608,6438780928
0,25,1573,222.227700,0.082900,24.228500,2.828200,189.688095,5.000300,0,632320,196608,6438780928
0,26,476,275.131800,0.145600,24.309401,3.004200,242.266098,4.996500,0,632320,196608,6438780928
0,27,1283,137.383400,0.075900,24.271400,2.806100,104.844704,5.002400,0,632320,196608,6438780928
0,28,279,210.523300,0.067700,24.468700,2.935100,177.748093,4.922400,0,632320,196608,6438780928
0,29,2038,187.662500,0.068800,24.150200,2.856000,155.329407,4.889100,0,632320,196608,6438780928
0,30,2504,148.490500,0.051800,24.266199,2.621400,116.213699,4.922300,0,632320,196608,6438780928
0,31,13,305.732100,0.064600,24.428801,2.767700,273.102295,4.945900,0,632320,196608,6438780928
0,32,3155,292.459600,0.075700,24.555901,2.761700,259.716095,4.939400,0,632320,196608,6438780928
0,33,537,231.781900,0.076700,24.524700,3.106100,198.794907,4.910000,0,632320,196608,6438780928
